Subject,1,Score1,2,Score2,3,Score3,4,Score4,5,Score5,Double Choice,Total
고전 읽기,3(16.7%),13.2,3(16.7%),13.8,6(33.3%),27.0,3(16.7%),13.2,3(16.7%),12.8,0(0.0%),18
응용생명과학탐구,4(20.0%),16.0,4(20.0%),14.8,4(20.0%),16.9,4(20.0%),16.0,4(20.0%),16.3,0(0.0%),20
심화 영어Ⅰ,4(14.3%),12.0,7(25.0%),19.0,7(25.0%),19.0,7(25.0%),21.0,3(10.7%),9.0,0(0.0%),28
수학 과제연구,1(16.7%),5.0,0(0.0%),0,2(33.3%),11.5,1(16.7%),4.5,2(33.3%),9.0,0(0.0%),6
수학세미나Ⅰ,1(14.3%),4.3,1(14.3%),4.1,2(28.6%),8.6,1(14.3%),4.2,2(28.6%),8.8,0(0.0%),7
지역 이해,5(25.0%),15.8,3(15.0%),9.6,4(20.0%),14.1,4(20.0%),13.3,4(20.0%),12.2,0(0.0%),20
심화 국어,4(22.2%),13.1,4(22.2%),13.1,2(11.1%),6.8,4(22.2%),13.6,4(22.2%),13.4,0(0.0%),18
영어 비평적 읽기와 쓰기,4(26.7%),12.0,2(13.3%),6.0,3(20.0%),9.0,3(20.0%),9.0,3(20.0%),9.0,0(0.0%),15
생활과 윤리,5(20.0%),11.7,6(24.0%),15.8,5(20.0%),11.7,6(24.0%),13.3,3(12.0%),7.5,0(0.0%),25
일본 문화,4(20.0%),13.7,4(20.0%),14.1,4(20.0%),14.1,4(20.0%),13.8,4(20.0%),14.3,0(0.0%),20
비교 문화,1(12.5%),3.2,1(12.5%),3.7,2(25.0%),7.1,2(25.0%),7.7,2(25.0%),8.3,0(0.0%),8
현대문학 감상,3(30.0%),14.6,1(10.0%),5.2,2(20.0%),10.0,2(20.0%),9.5,2(20.0%),10.7,0(0.0%),10
응용지구과학탐구,3(12.5%),9.8,3(12.5%),11.0,7(29.2%),21.7,4(16.7%),14.5,7(29.2%),23.0,0(0.0%),24
중국 언어와 문화,3(20.0%),14.9,2(13.3%),9.6,3(20.0%),15.0,2(13.3%),7.7,5(33.3%),22.8,0(0.0%),15
시사영어,4(25.0%),17.0,2(12.5%),9.0,3(18.8%),13.5,4(25.0%),17.5,3(18.8%),13.0,0(0.0%),16
응용화학탐구,4(20.0%),14.4,4(20.0%),15.8,5(25.0%),18.4,3(15.0%),11.3,4(20.0%),15.1,0(0.0%),20
국제 경제,4(18.2%),9.4,8(36.4%),18.7,2(9.1%),6.9,4(18.2%),12.7,4(18.2%),12.3,0(0.0%),22
고급 생명과학,2(16.7%),10.4,2(16.7%),9.9,3(25.0%),16.7,2(16.7%),9.5,3(25.0%),13.5,0(0.0%),12
사회·문화,5(20.0%),18.4,13(52.0%),43.2,2(8.0%),8.1,5(20.0%),20.3,0(0.0%),0,0(0.0%),25
AP 세계사,6(30.0%),18.6,4(20.0%),13.4,4(20.0%),13.2,3(15.0%),10.0,3(15.0%),9.8,0(0.0%),20
응용물리학탐구,3(15.0%),9.0,6(30.0%),19.0,4(20.0%),12.0,3(15.0%),10.0,4(20.0%),10.0,0(0.0%),20
응용수학탐구,2(14.3%),11.0,4(28.6%),20.0,4(28.6%),21.0,2(14.3%),9.0,2(14.3%),9.0,0(0.0%),14
통합수학Ⅰ,7(35.0%),35.1,0(0.0%),0,4(20.0%),19.9,5(25.0%),24.6,2(10.0%),8.8,2(10.0%),20
